lat,lon
40.7749371,-73.9123447
40.7748094,-73.9121624
40.775172,-73.9120581
40.7750479,-73.911877
40.7749098,-73.9119884
40.7703305,-73.9179733
40.7701847,-73.9177584
40.7710582,-73.9173326
40.77087,-73.916935
40.770227,-73.9175874
40.7710215,-73.9171929
40.766787,-73.921629
40.7667,-73.921406
40.7670762,-73.9214007
40.7669901,-73.9211808
40.7673601,-73.9208787
40.7618934,-73.9256167
40.7617965,-73.9253995
40.7621671,-73.9253951
40.7612956,-73.9257997
40.7620797,-73.9251671
40.7565079,-73.9299782
40.756783,-73.9297467
40.7564139,-73.9297574
40.7525155,-73.9329258
40.7528785,-73.9329192
40.7620908,-73.9663577
40.7623847,-73.9661407
40.7619934,-73.9661181
40.762282,-73.9659085
40.7651969,-73.9747154
40.7648951,-73.9747024
40.7651096,-73.9744829
40.7653602,-73.9724734
40.7647645,-73.9724467
40.7647033,-73.9723011
40.7648261,-73.9721997
40.7642779,-73.9812874
40.7643974,-73.9811892
40.7640707,-73.9808046
40.7641775,-73.9806726
40.7653672,-73.9803555
40.7652809,-73.9800466
40.7657965,-73.9800241
40.7656338,-73.9797767
40.7641774,-73.9807454
40.7655213,-73.9803002
40.7594831,-73.9848474
40.7594309,-73.9846966
40.75903,-73.984412
40.7604794,-73.9839245
40.760652,-73.9838835
40.7603322,-73.9835424
40.7604752,-73.9834438
40.7545181,-73.9871143
40.7543279,-73.987068
40.7541866,-73.9867191
40.7543135,-73.9866372
40.735276,-73.9910998
40.7363092,-73.9906322
40.7365493,-73.9904348
40.735311,-73.990265
40.7484603,-73.9883026
40.7483074,-73.9880268
40.7495823,-73.9876057
40.7499328,-73.9875036
40.7485524,-73.9885035
40.745509,-73.989051
40.7452802,-73.9889048
40.7453112,-73.9885799
40.7451276,-73.9885424
40.741247,-73.9896749
40.7407915,-73.989661
40.7419224,-73.989431
40.740643,-73.989217
40.74108,-73.989083
40.7415795,-73.9889941
40.741142,-73.988956
40.7413694,-73.9888623
40.729778,-73.993262
40.729692,-73.9930389
40.7306565,-73.9927468
40.7307797,-73.9926496
40.7305944,-73.9925979
40.7307252,-73.9925101
40.7305076,-73.9923238
40.7306012,-73.9922105
40.7242611,-73.9979364
40.7243543,-73.9978724
40.724124,-73.997686
40.7242283,-73.9976317
40.7194985,-74.0022722
40.7194186,-74.002157
40.7196643,-74.0020178
40.719587,-74.0019079
40.7191996,-74.0018441
40.7191509,-74.0017816
40.7195185,-74.0016183
40.7131236,-74.0070415
40.7134659,-74.0067485
40.7135017,-74.0067238
40.7101434,-74.0111427
40.710424,-74.0110847
40.7109036,-74.0107616
40.7111261,-74.0106162
40.7100644,-74.0115928
40.711142,-74.0108202
40.7112115,-74.0106761
40.7110042,-74.0107888
40.710165,-74.009182
40.7097799,-74.0102942
40.7104593,-74.0092735
40.7107493,-74.0090283
40.7107448,-74.0089504
40.71056,-74.0085957
40.7063426,-74.014018
40.7074289,-74.0133042
40.7075497,-74.01322
40.7076697,-74.0131438
40.7078965,-74.0129911
40.707609,-74.0129818
40.7080998,-74.0128571
40.7078334,-74.0128311
40.7080408,-74.0126888
40.7041502,-74.0133314
40.7039956,-74.0133066
40.7041181,-74.0129829
40.7021206,-74.0126457
40.7016764,-74.0129619
40.7019334,-74.0125934
40.6944821,-73.9928266
40.694232,-73.992635
40.6944216,-73.9926103
40.692052,-73.986191
40.6923585,-73.986175
40.6921242,-73.9860742
40.692269,-73.986061
40.692031,-73.985395
40.692315,-73.985172
40.6920651,-73.9851702
40.6912625,-73.9823804
40.6915722,-73.982048
40.68981,-73.981651
40.689804,-73.981164
40.68974,-73.981156
40.689817,-73.981082
40.683905,-73.978879
40.683805,-73.978487
40.683928,-73.978412
40.6771544,-73.9834296
40.6772958,-73.9833364
40.677001,-73.983133
40.677171,-73.98302
40.7306151,-73.9542445
40.670538,-73.988778
40.6704052,-73.9884866
40.6652787,-73.9932544
40.6650684,-73.9930473
40.665299,-73.992729
40.6605007,-73.998224
40.660323,-73.997952
40.65449,-74.004499
40.6546909,-74.0043071
40.654365,-74.004113
40.6494326,-74.0097327
40.6495617,-74.0096026
40.6492747,-74.009461
40.6494028,-74.0093232
40.6446672,-74.014688
40.6447641,-74.0145927
40.6445032,-74.0144244
40.644601,-74.014309
40.6456266,-74.01369
40.6406896,-74.0188637
40.640491,-74.0185665
40.6416248,-74.0178508
40.6417413,-74.0177502
40.6414668,-74.0175533
40.6415691,-74.017435
40.634827,-74.02358
40.634768,-74.023339
40.635484,-74.0233079
40.6295183,-74.025749
40.6294674,-74.0255076
40.6226535,-74.0285564
40.622583,-74.028315
40.623498,-74.028204
40.6302302,-74.0254577
40.6225859,-74.0283617
40.6224943,-74.0286163
40.616021,-74.031383
40.6162027,-74.031236
40.6159342,-74.0308333
40.617604,-74.0306828
40.6173787,-74.0304053
40.6852595,-73.9775209
40.6834124,-73.9765033
40.677365,-73.972788
40.6773368,-73.9721942
40.6623162,-73.9622109
40.6608149,-73.962115
40.654251,-73.961909
40.655248,-73.9615144
40.649458,-73.9633573
40.651482,-73.962732
40.644272,-73.964528
40.641314,-73.963996
40.6350503,-73.9627394
40.6350403,-73.9628408
40.6298896,-73.9618253
40.62993,-73.961477
40.6299848,-73.9616323
40.629916,-73.9614637
40.6299239,-73.9615842
40.6301156,-73.962035
40.6253471,-73.9610073
40.6251468,-73.9607947
40.625352,-73.9605856
40.6251287,-73.9609694
40.6181527,-73.9594627
40.6179244,-73.959454
40.6178834,-73.9595854
40.609062,-73.957808
40.608835,-73.957769
40.608319,-73.957352
40.5990226,-73.9558565
40.599,-73.9560243
40.5950522,-73.9551299
40.595031,-73.9552736
40.595075,-73.9549866
40.585734,-73.954371
40.587302,-73.954224
40.5775938,-73.9621381
40.5773574,-73.9620846
40.5776423,-73.9619059
40.5774184,-73.9618378
40.577931,-73.960524
40.577697,-73.960438
40.577746,-73.960231
40.5779976,-73.960193
40.5765342,-73.9696213
40.5765226,-73.969391
40.576423,-73.967894
40.5762228,-73.967881
40.576444,-73.9676189
40.5762457,-73.9675929
40.5756165,-73.976811
40.5757138,-73.976792
40.5759722,-73.97675
40.576464,-73.974862
40.5764558,-73.9812435
40.5769,-73.980846
40.575798,-73.9809268
40.6464022,-73.9944751
40.640185,-73.994423
40.64136,-73.994411
40.64018,-73.99422
40.6413647,-73.994196
40.6362822,-73.994899
40.6364489,-73.994877
40.6362692,-73.9946925
40.6364335,-73.9946737
40.6315288,-73.9956256
40.631709,-73.995283
40.631389,-73.995262
40.6271574,-73.9968629
40.6273515,-73.9967384
40.627299,-73.996465
40.6191533,-73.99925
40.6188574,-73.9991858
40.6188992,-73.9988367
40.6203538,-73.9987699
40.6203246,-73.9985607
40.6187459,-73.9990235
40.6128744,-74.0008872
40.612847,-74.000721
40.614054,-74.000585
40.614018,-74.000378
40.607723,-74.001894
40.607897,-74.001628
40.6076142,-74.0014876
40.604631,-73.998498
40.604789,-73.998349
40.604439,-73.998164
40.604587,-73.998007
40.601993,-73.99413
40.6021736,-73.9939783
40.601726,-73.993696
40.601898,-73.993538
40.6021609,-73.9939382
40.597952,-73.987442
40.5981,-73.987279
40.597751,-73.987112
40.597889,-73.986958
40.588305,-73.983791
40.588022,-73.983735
40.5883299,-73.9835485
40.5880448,-73.9834982
40.634552,-74.010726
40.6355523,-74.0126802
40.632179,-74.006658
40.630609,-74.004067
40.625606,-73.99683
40.624246,-73.995962
40.621306,-73.991469
40.6200793,-73.989426
40.617341,-73.98484
40.612989,-73.982084
40.6106019,-73.9816236
40.605107,-73.980578
40.6032318,-73.9802017
40.598512,-73.979335
40.5964727,-73.9789484
40.5927522,-73.9782375
40.7002829,-73.8292737
40.7005457,-73.8292418
40.7008371,-73.8273926
40.7006174,-73.827227
40.697088,-73.8371692
40.69678,-73.8370353
40.695033,-73.843298
40.695267,-73.843223
40.6935603,-73.8526132
40.6934785,-73.8525673
40.694077,-73.850476
40.6926897,-73.8590944
40.6923737,-73.8589533
40.691479,-73.86661
40.691285,-73.866425
40.689596,-73.873555
40.68947,-73.873449
40.690142,-73.87163
40.6836199,-73.8726013
40.683494,-73.872528
40.6817899,-73.8790283
40.681659,-73.878984
40.67968,-73.885709
40.67957,-73.8856535
40.6777892,-73.8916915
40.6778044,-73.8915527
40.6767708,-73.8999078
40.6768239,-73.8995113
40.683335,-73.911394
40.683456,-73.91128
40.6858697,-73.9158126
40.685981,-73.9156897
40.6900429,-73.9231697
40.6901596,-73.9230571
40.692935,-73.928247
40.692934,-73.927936
40.6970278,-73.9355833
40.6969112,-73.9354484
40.7006273,-73.9420192
40.7006437,-73.9421931
40.7008679,-73.9416986
40.70072,-73.941672
40.6997313,-73.9403023
40.6998454,-73.9401928
40.704293,-73.94833
40.704406,-73.948206
40.703321,-73.946596
40.703468,-73.946557
40.707149,-73.954427
40.7072658,-73.9543323
40.7065605,-73.9522702
40.7065268,-73.9526173
40.708681,-73.958927
40.7088204,-73.958823
40.708424,-73.9581652
40.7085721,-73.95809
40.708293,-73.958044
40.708565,-73.957893
40.7082988,-73.9577153
40.7084264,-73.9576496
40.7185586,-73.9876473
40.7184166,-73.987177
40.7199997,-73.9935462
40.7203022,-73.9934097
40.7178377,-74.0002765
40.712699,-74.004099
40.714199,-74.003187
40.7095377,-74.0083397
40.709378,-74.0082969
40.7100924,-74.0079747
40.710391,-74.0079182
40.7100832,-74.0076066
40.710219,-74.0075959
40.7101628,-74.0074258
40.7093032,-74.0083124
40.705747,-74.011554
40.706001,-74.011497
40.706439,-74.011263
40.7059737,-74.0112223
40.7061973,-74.0110885
40.706887,-74.010687
40.706911,-74.010494
40.7080774,-74.0097526
40.708035,-74.010665
40.7122137,-73.8892288
40.7060033,-73.8965041
40.7062104,-73.8955923
40.7061721,-73.895749
40.704443,-73.902389
40.7047753,-73.9022333
40.702856,-73.907898
40.7027905,-73.9075098
40.6989325,-73.918769
40.698717,-73.918655
40.697887,-73.926505
40.6980504,-73.9263066
40.739744,-74.0028317
40.7395548,-74.002379
40.7372217,-73.9967281
40.7371466,-73.9965569
40.7348918,-73.9913166
40.734755,-73.990991
40.7331516,-73.9870664
40.7332929,-73.9869546
40.7329604,-73.9866278
40.733112,-73.9865119
40.7310897,-73.9826309
40.7312094,-73.9825455
40.7314941,-73.9821471
40.7314051,-73.9821094
40.7305731,-73.9805094
40.7307014,-73.9807914
40.7304478,-73.9806762
40.7304066,-73.9805757
40.7306737,-73.9807198
40.7305247,-73.9808688
40.717669,-73.957588
40.717778,-73.9574692
40.7169125,-73.9563763
40.7170278,-73.9562626
40.7171349,-73.9562734
40.7168959,-73.9565414
40.7179059,-73.9575989
40.7179977,-73.9574904
40.7176329,-73.9578755
40.71421,-73.949313
40.713908,-73.949262
40.7142503,-73.9494571
40.7139683,-73.9494578
40.7146301,-73.9445676
40.714433,-73.944527
40.7146835,-73.9442869
40.714469,-73.944168
40.7121964,-73.9406655
40.7120373,-73.9409211
40.71184,-73.940866
40.7119284,-73.9404224
40.7120808,-73.9405205
40.712122,-73.9408551
40.7077427,-73.9401016
40.70786,-73.939744
40.7061192,-73.9336391
40.7062261,-73.9319589
40.706317,-73.931696
40.7070877,-73.9238656
40.7072435,-73.9237169
40.7060881,-73.9223107
40.7063256,-73.92207
40.7059411,-73.922014
40.706239,-73.921905
40.704353,-73.919463
40.704175,-73.919262
40.704455,-73.919218
40.704374,-73.91906
40.7033642,-73.917953
40.7035492,-73.9177737
40.703248,-73.91772
40.703475,-73.917601
40.6997979,-73.9113533
40.699735,-73.910998
40.699529,-73.910711
40.6959986,-73.905269
40.6958822,-73.9051477
40.6960624,-73.9046616
40.696117,-73.904416
40.695213,-73.903694
40.695186,-73.903065
40.688805,-73.904741
40.6823234,-73.9051549
40.67556092,-73.9029737
40.6756103,-73.9028838
40.67539,-73.902594
40.668527,-73.901765
40.6638732,-73.9005254
40.6637337,-73.9006329
40.6590028,-73.8993145
40.651462,-73.899191
40.6513481,-73.8988596
40.645585,-73.902541
40.6455493,-73.9025079
40.6459773,-73.9017217
40.6457226,-73.9025381
40.6810825,-73.9558693
40.6745435,-73.9579335
40.675208,-73.957591
40.6706111,-73.9591111
40.8678352,-73.9214448
40.8675148,-73.9213476
40.867892,-73.921234
40.8676606,-73.9209393
40.8682937,-73.9196148
40.8680441,-73.9192915
40.865367,-73.9280766
40.8652721,-73.9274779
40.8658077,-73.9273508
40.8652071,-73.9272452
40.8657641,-73.9270702
40.8654582,-73.9270362
40.8653515,-73.9269725
40.858902,-73.9342217
40.858899,-73.932702
40.8508848,-73.9385335
40.8507955,-73.9384747
40.8506956,-73.9382451
40.8507602,-73.9380902
40.852759,-73.936636
40.8529297,-73.9374299
40.8463795,-73.9402964
40.8464212,-73.9398567
40.8478249,-73.939798
40.8479603,-73.9396895
40.8480045,-73.939575
40.8479668,-73.9393756
40.8478741,-73.9392845
40.8481362,-73.9393681
40.8418738,-73.939572
40.8419367,-73.9394614
40.8407547,-73.9392446
40.8417771,-73.9390663
40.8407386,-73.9394342
40.835192,-73.940146
40.8358559,-73.9400923
40.835291,-73.9396266
40.830875,-73.9416528
40.8307797,-73.9415935
40.8311232,-73.9415596
40.8311566,-73.9414537
40.8310439,-73.9411527
40.8309304,-73.9411061
40.8239303,-73.9450243
40.824244,-73.944931
40.823804,-73.9447385
40.8240409,-73.9444173
40.825652,-73.9438059
40.8255977,-73.9434494
40.8171366,-73.948229
40.8168892,-73.9479548
40.8169097,-73.9478184
40.8172018,-73.9476887
40.8185182,-73.9475789
40.8183718,-73.947201
40.8106533,-73.9528842
40.8110144,-73.952615
40.8105235,-73.9525916
40.8108896,-73.9523308
40.812002,-73.9517467
40.8118703,-73.9513473
40.8107815,-73.9528525
40.80433,-73.9556383
40.8046561,-73.9555601
40.8041847,-73.9551335
40.8044406,-73.9550429
40.8000144,-73.9588852
40.8008738,-73.9584206
40.8000042,-73.9584074
40.7962977,-73.9616715
40.7916384,-73.9649398
40.7922926,-73.9644275
40.7926081,-73.9643213
40.7852968,-73.969672
40.78521,-73.9695929
40.7855033,-73.9694622
40.7861364,-73.9690231
40.7867828,-73.9684492
40.7803452,-73.9731888
40.7808674,-73.9728943
40.7819909,-73.972034
40.782254,-73.971741
40.7749488,-73.9771817
40.7762139,-73.976297
40.7764555,-73.975976
40.7667708,-73.9833664
40.7664984,-73.9832643
40.7669768,-73.9829544
40.7664893,-73.9826848
40.7667421,-73.9825714
40.7677166,-73.9827407
40.7677979,-73.9825917
40.7676894,-73.982496
40.7673965,-73.9821741
40.7687301,-73.9817917
40.7686784,-73.9811728
40.768695,-73.98159
40.7617615,-73.9869788
40.7618796,-73.9868361
40.7616972,-73.986825
40.762367,-73.9864705
40.7624623,-73.9862793
40.7621301,-73.9859331
40.762258,-73.9858519
40.7629145,-73.9854329
40.7616592,-73.9843289
40.7559971,-73.9910421
40.7561151,-73.9909193
40.7558064,-73.9905611
40.757474,-73.9900143
40.7579453,-73.9895696
40.7574339,-73.9894533
40.7585808,-73.9891597
40.758386,-73.9886758
40.7586951,-73.9890158
40.7563491,-73.9906315
40.7569444,-73.9901997
40.7517496,-73.9942753
40.7515212,-73.9942373
40.751281,-73.9939183
40.7522195,-73.9938635
40.7524423,-73.9936995
40.7514264,-73.9935073
40.7529333,-73.9933463
40.7520165,-73.9933356
40.7530677,-73.9932666
40.7519575,-73.9932163
40.7530103,-73.9931291
40.7521806,-73.9930803
40.7527203,-73.992839
40.7528575,-73.9927606
40.7528022,-73.9926229
40.7515869,-73.9938673
40.7513819,-73.993664
40.7452647,-73.9987538
40.7455254,-73.9986724
40.7451194,-73.9984005
40.7461243,-73.9981866
40.7452896,-73.9981389
40.7458188,-73.9978378
40.7465992,-73.9977858
40.7467263,-73.9976859
40.7464485,-73.997426
40.7465766,-73.9973307
40.7465177,-73.9971926
40.7399648,-74.0026775
40.7397744,-74.0022228
40.740613,-74.0022132
40.7409998,-74.0018465
40.740423,-74.0017648
40.7412488,-74.001743
40.7409261,-74.0013738
40.7410587,-74.0012814
40.7399468,-74.0027236
40.7310974,-74.0015985
40.7311149,-74.0012226
40.7311107,-74.0011646
40.7330975,-74.0002409
40.7330089,-73.9998114
40.7331807,-73.9996918
40.7256308,-74.0043768
40.726208,-74.004033
40.7255428,-74.0037502
40.7216563,-74.0056651
40.720758,-74.005399
40.7219301,-74.0050459
40.7198613,-74.0050282
40.7206887,-74.0050041
40.7200419,-74.0049774
40.7137352,-74.0090664
40.7139627,-74.0089871
40.7143032,-74.0086227
40.7145589,-74.0084198
40.7141841,-74.0083703
40.7148711,-74.0081736
40.7151176,-74.0079793
40.714777,-74.0078979
40.7150278,-74.0077012
40.712274,-74.0103503
