lat,lon,borough,activity_score,composite_perperson,eligible,near_transit,near_bus,commercial_area,score_311,score_mta,score_citibike,score_basket_need,lodes_pop,proxy_divergence,equity_floored,dot_calibration,district,in_bid,business_count,nearest_bin_walk_m
40.506870275460344,-74.25361849121448,Staten Island,32.26423349732278,46.28063024967643,True,False,True,0.0,1.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,,SI03,False,0,460.9592547639192
40.506870275460344,-74.2513727030042,Staten Island,32.26423349732278,46.28063024967643,True,False,True,0.0,1.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,,SI03,False,0,483.02716592523655
40.51028526021426,-74.2513727030042,Staten Island,37.33077831134142,31.06737972373439,True,True,False,0.0,2.0,0.0,0.0,0.0,1002.0,0.0011512467979852955,False,,SI03,False,0,436.63728218373626
40.51199268738043,-74.2513727030042,Staten Island,37.33077831134142,50.34230807290072,True,True,True,920.0,2.0,0.0,0.0,0.0,0.0,1.1547005383792517,False,,SI03,False,0,210.669106325664
40.51370007107219,-74.2513727030042,Staten Island,32.26423349732278,46.28063024967643,True,True,False,5969.0,1.0,0.0,0.0,4.0,0.0,0.5773502691896258,False,,SI03,False,0,65.94254984346706
40.50345511681372,-74.24912691479389,Staten Island,37.33077831134142,50.34230807290072,True,False,True,0.0,2.0,0.0,0.0,0.0,0.0,1.1547005383792517,False,,SI03,False,0,285.71512730484136
40.51028526021426,-74.24912691479389,Staten Island,44.426119624389294,55.610370928433674,True,False,True,13174.0,4.0,0.0,0.0,1.0,0.0,2.3094010767585034,False,,SI03,False,3,292.41171385451463
40.51199268738043,-74.24912691479389,Staten Island,32.26423349732278,46.28063024967643,True,True,True,17088.0,1.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,,SI03,False,1,298.2749822862795
40.51370007107219,-74.24912691479389,Staten Island,51.39074653213059,60.14044203733988,True,True,True,8385.0,7.0,0.0,0.0,0.0,0.0,4.041451884327381,False,,SI03,False,1,241.48730173946944
40.506870275460344,-74.24688112658359,Staten Island,32.26423349732278,46.28063024967643,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,,SI03,False,0,343.184788560216
40.5085777895741,-74.24688112658359,Staten Island,44.426119624389294,55.610370928433674,True,False,True,26560.0,4.0,0.0,0.0,16.0,0.0,2.3094010767585034,False,,SI03,False,3,32.43628399321576
40.51028526021426,-74.24688112658359,Staten Island,37.33077831134142,50.34230807290072,True,False,True,25269.0,2.0,0.0,0.0,0.0,0.0,1.1547005383792517,False,,SI03,False,0,279.936033677232
40.51370007107219,-74.24688112658359,Staten Island,32.26423349732278,46.28063024967643,True,False,True,0.0,1.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,,SI03,False,0,487.1178645081301
40.500039784277675,-74.24463533837329,Staten Island,32.26423349732278,46.28063024967643,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,,SI03,False,0,882.3027360646081
40.501747472281664,-74.24463533837329,Staten Island,37.33077831134142,50.34230807290072,False,False,False,0.0,2.0,0.0,0.0,1.0,0.0,1.1547005383792517,False,,SI03,False,0,518.86777825932
40.506870275460344,-74.24463533837329,Staten Island,37.33077831134142,50.34230807290072,False,False,False,0.0,2.0,0.0,0.0,0.0,0.0,1.1547005383792517,False,,SI03,False,0,225.4628026794946
40.51028526021426,-74.24463533837329,Staten Island,44.426119624389294,55.610370928433674,True,False,False,25838.0,4.0,0.0,0.0,2.0,0.0,2.3094010767585034,False,,SI03,False,2,79.09952913026642
40.51199268738043,-74.24463533837329,Staten Island,32.26423349732278,30.283093291894904,False,False,False,0.0,1.0,0.0,0.0,0.0,808.0,0.0007136591708153593,False,,SI03,False,0,293.3080157276994
40.51540741128915,-74.24463533837329,Staten Island,37.33077831134142,50.34230807290072,True,True,True,3900.0,2.0,0.0,0.0,2.0,0.0,1.1547005383792517,False,,SI03,False,0,301.95433774491704
40.49833205280214,-74.242389550163,Staten Island,32.26423349732278,46.28063024967643,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,,SI03,False,0,951.7491197275066
40.501747472281664,-74.242389550163,Staten Island,32.26423349732278,46.28063024967643,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.5773502691896258,False,,SI03,False,0,451.7492395384933
40.5085777895741,-74.242389550163,Staten Island,37.33077831134142,50.34230807290072,False,False,False,0.0,2.0,0.0,0.0,5.0,0.0,1.1547005383792517,False,,SI03,False,0,96.19695465584789
40.51199268738043,-74.242389550163,Staten Island,41.24948725376164,53.318784010402666,True,False,False,11867.0,3.0,0.0,0.0,0.0,0.0,1.7320508075688772,False,,SI03,False,0,159.56834257247164
40.51370007107219,-74.242389550163,Staten Island,37.33077831134142,50.34230807290072,False,False,False,0.0,2.0,0.0,0.0,0.0,0.0,1.1547005383792517,False,,SI03,False,0,340.20109142279796
40.517114708030874,-74.242389550163,Staten Island,41.24948725376164,53.318784010402666,False,True,True,12055.0,3.0,0.0,0.0,0.0,0.0,1.7320508075688772,False,,SI03,False,0,147.9630477127076
40.501747472281664,-74.2401437619527,Staten Island,37.33077831134142,50.34230807290072,False,False,False,0.0,2.0,0.0,0.0,0.0,0.0,1.1547005383792517,False,,SI03,False,0,516.5310631522258
40.5085777895741,-74.2401437619527,Staten Island,32.26423349732278,30.16442912082752,False,False,False,0.0,1.0,0.0,0.0,0.0,1338.0,0.00043118018610128887,True,,SI03,False,0,376.70320645593597
40.51199268738043,-74.2401437619527,Staten Island,41.24948725376164,53.318784010402666,True,False,True,19425.0,3.0,0.0,0.0,6.0,0.0,1.7320508075688772,False,,SI03,False,2,59.25343273441093
