lat,lon,name
40.50631,-74.24789,CARTERET ST & PITTSVILLE AVE
40.50638,-74.23292,BEDELL AVE & LERER LN
40.50647,-74.24099,GEORGE ST & SLEIGHT AVE
40.50648,-74.23102,CALLAHAN LN & IRENE LN
40.50649,-74.24697,PITTSVILLE AVE & SWINNERTON ST
40.50653,-74.23206,CALLAHAN LN & LERER LN
40.50665,-74.23671,AMARON LN & CELINA LN
40.50667,-74.24608,MAIN ST & PITTSVILLE AVE
40.50668,-74.23981,DELIA CT & FAYANN LN
40.50669,-74.23651,AMARON LN & ROMAN CT
40.50669,-74.23506,AMARON LN & JOLINE AVE
40.50676,-74.23306,BEDELL AVE & HYLAN BLVD
40.50683,-74.22465,BUTLER BLVD & FLOWER AVE
40.50684,-74.24521,CHELSEA ST & PITTSVILLE AVE
40.50684,-74.22379,FLOWER AVE & RICHARD AVE
40.50688,-74.23512,GIEGERICH PL & JOLINE AVE
40.50689,-74.253,SATTERLEE ST & TOTTENVILLE PL
40.50689,-74.25173,BRYAN ST & SUMMIT RD
40.5069,-74.23863,GEORGE ST & SPRAGUE AVE
40.50691,-74.25217,CRAIG AVE & SUMMIT RD
40.50692,-74.23116,IRENE LN & LERER LN
40.50696,-74.25453,TOTTENVILLE PL & WARDS POINT AVE
40.50702,-74.24432,BRIGHTON ST & PITTSVILLE AVE
40.50713,-74.25088,CONNECTICUT ST & SUMMIT RD
40.50719,-74.2304,JAYNE LN & LERER LN
40.5072,-74.24341,MANHATTAN ST & PITTSVILLE AVE
40.50724,-74.23323,BEDELL AVE & GIEGERICH PL
40.5073,-74.23693,ADLERS LN & CELINA LN
40.50732,-74.22992,LERER LN & PAGE AVE
40.50735,-74.23878,NANCY LN & SPRAGUE AVE
40.50738,-74.25003,FINLAY ST & SUMMIT RD
40.50738,-74.24252,PITTSVILLE AVE & YETMAN AVE
40.50746,-74.23882,PETUNIA CT & SPRAGUE AVE
40.50756,-74.23535,ADLERS LN & JOLINE AVE
40.50759,-74.25208,AMBOY RD & CRAIG AVE
40.50763,-74.25288,AMBOY RD & SATTERLEE ST
40.50764,-74.24918,ASPINWALL ST & SUMMIT RD
40.50769,-74.25392,AMBOY RD & HOPPING AVE
40.50774,-74.25495,AMBOY RD & AVIVA CT
40.50776,-74.23007,HYLAN BLVD & PAGE AVE
40.50779,-74.25117,AMBOY RD & CONNECTICUT ST
40.50804,-74.25033,AMBOY RD & FINLAY ST
40.50804,-74.24153,PARADISE PL & SLEIGHT AVE
40.50821,-74.22765,CULOTTA LN & HYLAN BLVD
40.50829,-74.24948,AMBOY RD & ASPINWALL ST
40.50836,-74.24316,ACADEMY AVE & YETMAN AVE
40.5084,-74.24292,ACADEMY AVE & YETMAN AVE
40.50842,-74.24907,AMBOY RD & BENTLEY ST
40.50846,-74.23565,JOLINE AVE & KATHLEEN CT
40.50847,-74.24889,AMBOY RD & CARTERET ST
40.50849,-74.23032,CAMDEN AVE & PAGE AVE
40.50851,-74.22472,BUTLER BLVD & HYLAN BLVD
40.50857,-74.22991,CAMDEN AVE & CAMDEN CT
40.50858,-74.24853,AMBOY RD & CARTERET ST
40.50862,-74.22375,HYLAN BLVD & RICHARD AVE
40.50867,-74.23464,KATHLEEN CT & SYLVAN CT
40.50869,-74.23371,BEDELL AVE & DELL CT
40.50872,-74.24805,AMBOY RD & BUTLER AVE
40.50876,-74.22903,CAMDEN AVE & CAMDEN CT
40.50881,-74.24775,AMBOY RD & SWINNERTON ST
40.50893,-74.24474,BRIGHTON ST & SUMMIT ST
40.50895,-74.2512,CRAIG AVE & PATTEN ST
40.50895,-74.22158,CUNNINGHAM RD & HYLAN BLVD
40.50897,-74.23478,KERRY LN & SYLVAN CT
40.50899,-74.22793,CAMDEN AVE & EUGENE ST
40.50905,-74.2469,AMBOY RD & MAIN ST
40.50913,-74.23586,JOLINE AVE & SYLVAN CT
40.50917,-74.23387,BEDELL AVE & KERRY LN
40.50917,-74.23056,BARTOW AVE & PAGE AVE
40.50919,-74.24344,SUMMIT ST & YETMAN AVE
40.50922,-74.2373,BLOSSOM LN & HONEY LN
40.50931,-74.24606,AMBOY RD & CHELSEA ST
40.50936,-74.24071,JOYCE LN & KEPPEL AVE
40.50938,-74.23063,DAWN CT & PAGE AVE
40.50942,-74.23596,BLOSSOM LN & JOLINE AVE
40.50952,-74.25245,HOPPING AVE & PATTEN ST
40.50955,-74.24525,AMBOY RD & JOHNSON AVE
40.50959,-74.25026,BENTLEY ST & CRAIG AVE
40.50963,-74.24499,AMBOY RD & BRIGHTON ST
40.50966,-74.22819,BARTOW AVE & EUGENE ST
40.50967,-74.21807,HYLAN BLVD & KENNY RD
40.50968,-74.24747,BENTLEY LN & MAIN ST
40.50969,-74.23963,KEPPEL AVE & NANCY LN
40.50977,-74.23408,BEDELL AVE & SPRUCE CT
40.50982,-74.24913,BENTLEY LN & BUTLER AVE
40.50992,-74.23613,HONEY LN & JOLINE AVE
40.51,-74.24374,AMBOY RD & YETMAN AVE
40.51006,-74.24936,BUTLER AVE & CRAIG AVE
40.51029,-74.23985,JOYCE LN & SPRAGUE AVE
40.51036,-74.23988,SANFORD ST & SPRAGUE AVE
40.51037,-74.23627,JACOB ST & JOLINE AVE
40.51039,-74.23808,BREHAUT AVE & TRUMAN ST
40.51044,-74.22452,BARTOW AVE & RICHARD AVE
40.51052,-74.24257,AMBOY RD & LEE AVE
40.51053,-74.24828,CRAIG AVE & MAIN ST
40.5106,-74.24241,AMBOY RD & SLEIGHT AVE
40.51062,-74.23635,JOLINE AVE & TRUMAN ST
40.51062,-74.22223,CUNNINGHAM RD & MOUNT LORETTO SR
40.51066,-74.25136,BENTLEY ST & EARLEY PL
40.51068,-74.24999,BUTLER AVE & LAFAYETTE ST
40.51072,-74.2344,BEDELL AVE & JACOB ST
40.51081,-74.24856,EDEN CT & MAIN ST
40.51082,-74.24743,BOCCE CT & CRAIG AVE
40.51082,-74.24198,AMBOY RD & WOOD AVE
